Latitude,Longitude,count,zipcode
40.67379025800005,-73.80269047699994,11,11420
40.673790729,-73.891998159,18,11207
40.67379072900008,-73.89199815899997,2,11207
40.673791681,-73.874037855,5,11208
40.67379168100007,-73.87403785499998,1,11208
40.673793035,-73.940381361,32,11213
40.67379303500008,-73.94038136099994,14,11213
40.673799917,-73.842810977,2,11417
40.673799935000034,-73.838856245,5,11417
40.673800233,-73.998234977,5,11231
40.673801832,-73.907925201,1,11233
40.67380183200004,-73.90792520099995,4,11233
40.673808748,-73.731782708,5,11422
40.673808748000056,-73.73178270799998,4,11422
40.67380937,-73.88299274,22,11208
40.67380937000007,-73.88299273999998,3,11208
40.67380937000007,-73.88299273999996,4,11208
40.673812882,-73.79521715,15,11436
40.67381288200005,-73.79521714999998,1,11436
40.673813487,-73.972743761,4,11217
40.67381348700008,-73.97274376099993,3,11217
40.673814329,-73.837381748,1,11417
40.673816999,-73.864902634,3,11208
40.673816999000046,-73.86490263399998,2,11208
40.673823055,-73.979121069,2,11215
40.67382305500007,-73.97912106899997,2,11215
40.67382478400003,-74.00616605799998,1,11231
40.67382478400003,-74.00616605799996,1,11231
40.673828653,-73.751653682,13,11413
40.67382865300005,-73.75165368199998,4,11413
40.67383495,-73.731249056,4,11422
40.67383495000007,-73.73124905599997,2,11422
40.673835135,-73.908382995,2,11233
40.67383513500005,-73.90838299499995,1,11233
40.673836148,-73.97589095,3,11217
40.67384337900006,-73.84247921099995,1,11417
40.673843797,-73.808382689,15,11420
40.67384379700008,-73.80838268899998,1,11420
40.673844225,-73.916732256,66,11233
40.67384422500004,-73.916732256,19,11233
40.673845507,-73.817885587,2,11420
40.67384550700007,-73.81788558699996,1,11420
40.67384550700008,-73.81788558699996,1,11420
40.673846885,-74.002294249,5,11231
40.673846885000046,-74.002294249,4,11231
40.673849276,-73.990693234,7,11215
40.673849276000055,-73.99069323399993,3,11215
40.673852709,-73.925081518,10,11233
40.67385270900007,-73.92508151799996,4,11233
40.673854686,-74.010239754,1,11231
40.67385468600003,-74.01023975399994,1,11231
40.673855943,-73.784236037,11,11434
40.67385594300004,-73.78423603699997,1,11434
40.67385767,-73.7957073,11,11436
40.67385767000008,-73.79570729999993,11,11436
40.673858545,-73.900228359,12,11207
40.67385854500003,-73.90022835899998,5,11207
40.67385892,-73.891543814,8,11207
40.67385892000004,-73.891543814,11,11207
40.673859794,-73.87357628,8,11208
40.67385979400007,-73.87357627999995,4,11208
40.67386333,-73.933427175,11,11213
40.67386333000008,-73.93342717499998,3,11213
40.67386333000008,-73.93342717499996,6,11213
40.673867859,-73.941776445,6,11213
40.67386785900004,-73.94177644499997,1,11213
40.673867964,-73.739637888,3,11413
40.67386796400008,-73.73963788799993,1,11413
40.67386934,-73.882585265,2,11208
40.67386934000008,-73.882585265,2,11208
40.67386934000008,-73.882585265,2,11208
40.673874525,-73.950125714,42,11216
40.67387452500003,-73.95012571399997,24,11216
40.673878826,-73.748217878,19,11413
40.67387882600008,-73.74821787799993,12,11413
40.673879697,-73.909197673,7,11233
40.67387969700008,-73.90919767299994,3,11233
40.67388086,-73.907214899,3,11233
40.67388086000005,-73.90721489899995,1,11233
40.673887209,-73.75335505,4,11413
40.67388720900004,-73.75335504999998,1,11413
40.673887752,-73.864383364,2,11208
40.673890125,-73.886893257,30,11207
40.67389012500007,-73.88689325699994,14,11207
40.673894635,-73.877880637,48,11208
40.67389463500008,-73.87788063699996,3,11208
40.67389463500008,-73.87788063699998,7,11208
40.673908627,-73.842021215,7,11417
40.67390862700006,-73.842021215,1,11417
40.67390961,-73.955352998,28,11216
40.67390961000008,-73.95535299799997,3,11216
40.67390961000008,-73.95535299799997,5,11216
40.673911979,-73.78484511,3,11434
40.673912651,-73.800447774,8,11436
40.67391265100008,-73.80044777399996,1,11436
40.673914696,-73.868680524,15,11208
40.67391469600005,-73.86868052399996,4,11208
40.67391469600005,-73.86868052399994,7,11208
40.673923095,-73.971983053,2,11217
40.673924021,-73.89977042,6,11207
40.67392402100006,-73.89977041999998,1,11207
40.67392437,-73.891093077,9,11207
40.67392437000007,-73.89109307699994,9,11207
40.673925161,-73.87311471,6,11208
40.67392516100006,-73.87311470999998,1,11208
40.673927709,-73.926462167,45,11213
40.67392770900005,-73.92646216699995,15,11213
40.673928574,-73.818343202,4,11420
40.673929822,-73.910113287,9,11233
40.67392982200005,-73.91011328699994,1,11233
40.67392982200005,-73.91011328699993,1,11233
40.673931056,-73.895339809,22,11207
40.67393105600007,-73.89533980899995,9,11207
40.673931877,-74.005221547,58,11231
40.67393187700003,-74.00522154699998,17,11231
40.67393187700003,-74.00522154699996,13,11231
40.673933614,-73.766383554,3,11434
40.67393361400008,-73.76638355399997,3,11434
40.67393477,-73.88214894,21,11208
40.67393477000007,-73.88214893999998,3,11208
40.67393477000008,-73.88214893999998,1,11208
40.673936924,-73.8237111,16,11420
40.67393692400003,-73.82371109999998,8,11420
40.673945216,-74.010758895,19,11231
40.673949666000055,-73.84597225299996,1,11417
40.673949883,-73.811122224,24,11420
40.67394988300003,-73.81112222399997,9,11420
40.673949883000034,-73.81112222399997,1,11420
40.673950338,-73.86392179,6,11208
40.67395033800005,-73.86392178999995,3,11208
40.673953193,-73.90503735,4,11212
40.673958441,-73.796813742,18,11436
40.673958441000025,-73.79681374199998,9,11436
40.67396045,-73.910672028,8,11233
40.673964358,-74.011494327,1,11231
40.67396530000008,-73.90309781699993,1,11207
40.673965351,-73.755243812,10,11413
40.67396535100005,-73.75524381199995,4,11413
40.67396535100005,-73.75524381199993,4,11413
40.67396888000008,-73.74548490299996,2,11413
40.673970162000046,-73.99224699199993,1,11215
40.673970341,-73.730459001,4,11422
40.67397034100002,-73.73045900099999,21,11422
40.673971768,-73.781614787,13,11434
40.67397176800005,-73.78161478699997,2,11434
40.67397176800006,-73.78161478699997,6,11434
40.67397192,-73.778820867,1,11434
40.673972887,-74.008033486,5,11231
40.67397288700005,-74.008033486,3,11231
40.673973854,-73.742784693,4,11413
40.673973854000046,-73.74278469299998,7,11413
40.673973854000046,-73.74278469299996,4,11413
40.673973867,-73.841559614,1,11417
40.67397386700002,-73.84155961399993,2,11417
40.673975025,-73.985707439,9,11215
40.67397502500006,-73.98570743899995,2,11215
40.673977541,-73.983966202,14,11215
40.673977541000056,-73.98396620199998,4,11215
40.673977541000056,-73.98396620199996,3,11215
40.673977944,-73.78053325,2,11434
40.67397794400005,-73.78053324999998,1,11434
40.67397794400006,-73.78053324999996,1,11434
40.673979638,-73.872736077,15,11208
40.67397963800004,-73.87273607699996,1,11208
40.67397963800005,-73.87273607699996,7,11208
40.673986747,-73.974210944,11,11215
40.67398674700007,-73.97421094399994,6,11215
40.673988005,-73.839876021,1,11417
40.67398800500007,-73.83987602099995,1,11417
40.673988269,-73.911151462,10,11233
40.67398826900006,-73.91115146199996,10,11233
40.673989494,-73.899308877,12,11207
40.67398949400008,-73.89930887699995,2,11207
40.673992562,-73.890642334,5,11207
40.67399256200008,-73.89064233399995,7,11207
40.67399319,-73.906958784,7,11212
40.67399319000003,-73.90695878399998,1,11212
40.673996948,-73.852735221,4,11417
